SCREEN LINE,DIRECTION,NUMBER OF STATIONS,TOTAL VEHICLES,TOTAL PERSONS,TOTAL AUTO,TOTAL AUTO PERSONS,TOTAL LIGHT TRUCKS,TOTAL TRUCKS (EXCLUDING LIGHT TRUCKS),TOTAL TRANSIT,TOTAL TRANSIT PERSONS,TOTAL BUSES,TOTAL BUS PASSENGERS,TOTAL LOCAL BUSES,TOTAL LOCAL BUS PASSENGERS,TOTAL BICYCLES,TOTAL MOTORCYCLES,TOTAL SUBWAY PASSENGERS,TOTAL GO TRAIN PASSENGERS,TOTAL PEDESTRIANS
1001I City West Boundary (Peel-Toronto Boundary) (Inbound),East,22,110135,144798,94792,103920,8645,5971,750,40878,727,11085,41,919,80,0,0,29793,0
1001O City West Boundary (Peel-Toronto Boundary) (Outbound),West,21,88773,88715,74521,80787,7322,6377,556,7928,553,7501,55,1335,49,0,0,427,0
1002I City North Boundary (York-Toronto Boundary) (Inbound),South,45,146869,157658,127173,138579,12583,6382,742,19079,731,10236,201,2166,37,0,0,8843,0
1002O City North Boundary (York-Toronto Boundary) (Outbound),North,46,106275,109892,89641,100440,10236,5733,668,9452,667,9444,235,3986,55,0,0,8,0
1003I City East Boundary (Durham-Toronto Boundary) (Inbound),West,6,41227,52335,36229,39836,3268,1651,90,12499,79,1425,0,0,7,0,0,11074,0
1003O City East Boundary (Durham-Toronto Boundary) (Outbound),East,6,16776,14891,12731,13806,2359,1583,108,1085,103,747,0,0,2,0,0,338,0
1004I Humber River (Inbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1004O Humber River (Outbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1005I CNR Newmarket Subdivision (Inbound),East,7,23398,57301,20978,22563,1350,969,128,34738,101,514,22,22,1,0,0,34224,0
1005O CNR Newmarket Subdivision (Outbound),West,7,17382,19662,16098,18075,467,709,112,1587,108,960,20,309,3,0,0,627,0
1006I CNR Bala Subdivision (Inbound),North/South/West,17,40276,104269,35609,41111,2813,1456,476,63158,398,5753,264,5245,707,0,35891,21514,0
1006O CNR Bala Subdivision (Outbound),East/North/South,17,21669,28658,18269,20375,1738,1319,397,8283,343,1617,245,978,52,0,6424,242,0
